cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
i686,81,3.7,19.0,2.19,19,0,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,81,3.5,20.1,2.23,20,1,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,81,3.9,21.0,2.19,21,0,2,19,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,80,3.10,20.0,2.31,20,0,2,31,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,80,3.7,20.0,2.14,20,0,2,14,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,80,3.6,9.0,2.31,9,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,80,3.9,21.0,2.24,21,0,2,24,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
x86_64,80,3.6,10.0,2.25,10,0,2,25,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv6l,80,3.8,20.1,2.24,20,1,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,80,3.5,9.0,2.29,9,0,2,29,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,79,3.8,19.2,2.27,19,2,2,27,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
armv7l,79,3.7,8.1,2.17,8,1,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,79,3.9,20.2,2.24,20,2,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,79,3.7,20.1,2.17,20,1,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,79,3.6,19.1,2.18,19,1,2,18,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,79,3.4,19.1,2.19,19,1,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
armv7l,79,3.7,20.3,2.23,20,3,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,79,2.7,20.1,2.21,20,1,2,21,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
ppc,79,3.7,21.0,2.23,21,0,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,78,2.7,20.2,2.31,20,2,2,31,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
ppc64le,78,3.8,20.1,2.17,20,1,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
ppc64le,78,3.7,9.0,2.28,9,0,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,78,3.7,8.0,2.28,8,0,2,28,FALSE,FALSE,FALSE,FALSE,FALSE,none
ppc64le,78,2.7,20.1,2.17,20,1,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,78,3.7,19.2,2.15,19,2,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,78,3.8,9.0,2.27,9,0,2,27,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
s390x,77,3.8,20.0,2.28,20,0,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
ppc64le,77,3.8,20.2,2.23,20,2,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,77,2.7,18.1,2.24,18,1,2,24,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,77,3.9,20.2,2.32,20,2,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
